Var1,Var2,Freq
FALSE,ABE,0
TRUE,ABE,8
NA,ABE,0
FALSE,ABI,0
TRUE,ABI,5
NA,ABI,0
FALSE,ABQ,0
TRUE,ABQ,56
NA,ABQ,0
FALSE,ACT,0
TRUE,ACT,2
NA,ACT,0
FALSE,ACY,0
TRUE,ACY,1
NA,ACY,0
FALSE,AEX,0
TRUE,AEX,3
NA,AEX,0
FALSE,AFW,0
TRUE,AFW,3
NA,AFW,0
FALSE,AGS,0
TRUE,AGS,12
NA,AGS,0
FALSE,ALB,0
TRUE,ALB,20
NA,ALB,0
FALSE,AMA,0
TRUE,AMA,4
NA,AMA,0
FALSE,ATL,1
TRUE,ATL,125
NA,ATL,0
FALSE,ATW,0
TRUE,ATW,1
NA,ATW,0
FALSE,AUS,0
TRUE,AUS,91
NA,AUS,0
FALSE,AVL,0
TRUE,AVL,1
NA,AVL,0
FALSE,AVP,0
TRUE,AVP,2
NA,AVP,0
FALSE,AZO,0
TRUE,AZO,1
NA,AZO,0
FALSE,BDA,0
TRUE,BDA,1
NA,BDA,0
FALSE,BDL,1
TRUE,BDL,11
NA,BDL,0
FALSE,BFF,0
TRUE,BFF,20
NA,BFF,0
FALSE,BGR,0
TRUE,BGR,3
NA,BGR,0
FALSE,BHM,0
TRUE,BHM,26
NA,BHM,0
FALSE,BIL,0
TRUE,BIL,5
NA,BIL,0
FALSE,BMI,0
TRUE,BMI,3
NA,BMI,0
FALSE,BNA,0
TRUE,BNA,92
NA,BNA,0
FALSE,BOI,0
TRUE,BOI,12
NA,BOI,0
FALSE,BOS,0
TRUE,BOS,60
NA,BOS,0
FALSE,BQN,0
TRUE,BQN,6
NA,BQN,0
FALSE,BTR,0
TRUE,BTR,13
NA,BTR,0
FALSE,BTV,1
TRUE,BTV,6
NA,BTV,0
FALSE,BUF,0
TRUE,BUF,24
NA,BUF,0
FALSE,BUR,0
TRUE,BUR,1
NA,BUR,0
FALSE,BWI,0
TRUE,BWI,69
NA,BWI,0
FALSE,BZN,0
TRUE,BZN,1
NA,BZN,0
FALSE,CAE,0
TRUE,CAE,45
NA,CAE,0
FALSE,CAK,0
TRUE,CAK,9
NA,CAK,0
FALSE,CHA,0
TRUE,CHA,15
NA,CHA,0
FALSE,CHO,0
TRUE,CHO,6
NA,CHO,0
FALSE,CHS,0
TRUE,CHS,51
NA,CHS,0
FALSE,CID,0
TRUE,CID,1
NA,CID,0
FALSE,CLE,0
TRUE,CLE,52
NA,CLE,0
FALSE,CLL,0
TRUE,CLL,4
NA,CLL,0
FALSE,CLT,0
TRUE,CLT,92
NA,CLT,0
FALSE,CMH,0
TRUE,CMH,68
NA,CMH,0
FALSE,COS,0
TRUE,COS,61
NA,COS,0
FALSE,CRP,0
TRUE,CRP,6
NA,CRP,0
FALSE,CSG,0
TRUE,CSG,2
NA,CSG,0
FALSE,CVG,0
TRUE,CVG,69
NA,CVG,0
FALSE,CWA,0
TRUE,CWA,1
NA,CWA,0
FALSE,CYS,0
TRUE,CYS,13
NA,CYS,0
FALSE,DAB,0
TRUE,DAB,28
NA,DAB,0
FALSE,DAL,0
TRUE,DAL,5
NA,DAL,0
FALSE,DAY,0
TRUE,DAY,11
NA,DAY,0
FALSE,DCA,0
TRUE,DCA,4
NA,DCA,0
FALSE,DEN,0
TRUE,DEN,178
NA,DEN,0
FALSE,DFW,0
TRUE,DFW,64
NA,DFW,0
FALSE,DLH,0
TRUE,DLH,8
NA,DLH,0
FALSE,DSM,0
TRUE,DSM,20
NA,DSM,0
FALSE,DTW,1
TRUE,DTW,170
NA,DTW,0
FALSE,ECP,0
TRUE,ECP,3
NA,ECP,0
FALSE,ELM,0
TRUE,ELM,1
NA,ELM,0
FALSE,ELP,0
TRUE,ELP,2
NA,ELP,0
FALSE,EVV,0
TRUE,EVV,7
NA,EVV,0
FALSE,EWR,4
TRUE,EWR,28
NA,EWR,0
FALSE,FAR,0
TRUE,FAR,5
NA,FAR,0
FALSE,FAT,0
TRUE,FAT,1
NA,FAT,0
FALSE,FAY,0
TRUE,FAY,4
NA,FAY,0
FALSE,FLL,0
TRUE,FLL,88
NA,FLL,0
FALSE,FNT,0
TRUE,FNT,2
NA,FNT,0
FALSE,FPO,0
TRUE,FPO,1
NA,FPO,0
FALSE,FSD,0
TRUE,FSD,2
NA,FSD,0
FALSE,FWA,0
TRUE,FWA,2
NA,FWA,0
FALSE,GEG,0
TRUE,GEG,5
NA,GEG,0
FALSE,GFK,0
TRUE,GFK,1
NA,GFK,0
FALSE,GGG,0
TRUE,GGG,4
NA,GGG,0
FALSE,GJT,0
TRUE,GJT,9
NA,GJT,0
FALSE,GNV,0
TRUE,GNV,1
NA,GNV,0
FALSE,GPT,0
TRUE,GPT,3
NA,GPT,0
FALSE,GRB,0
TRUE,GRB,16
NA,GRB,0
FALSE,GRK,0
TRUE,GRK,2
NA,GRK,0
FALSE,GRR,0
TRUE,GRR,34
NA,GRR,0
FALSE,GSO,0
TRUE,GSO,61
NA,GSO,0
FALSE,GSP,0
TRUE,GSP,32
NA,GSP,0
FALSE,HOU,0
TRUE,HOU,27
NA,HOU,0
FALSE,HPN,0
TRUE,HPN,1
NA,HPN,0
FALSE,HSV,0
TRUE,HSV,7
NA,HSV,0
FALSE,IAD,0
TRUE,IAD,71
NA,IAD,0
FALSE,IAH,0
TRUE,IAH,87
NA,IAH,0
FALSE,ICT,0
TRUE,ICT,15
NA,ICT,0
FALSE,IDA,0
TRUE,IDA,2
NA,IDA,0
FALSE,IFP,0
TRUE,IFP,1
NA,IFP,0
FALSE,ILM,0
TRUE,ILM,18
NA,ILM,0
FALSE,IND,0
TRUE,IND,121
NA,IND,0
