FL_DATE,OP_CARRIER_FL_NUM,ORIGIN,Count
2015-01-01,1,JFK,2
2015-01-01,15,JFK,2
2015-01-01,1599,LGA,2
2015-01-01,23,JFK,2
2015-01-01,2302,JFK,2
2015-01-01,3,JFK,2
2015-01-01,331,LGA,2
2015-01-01,411,JFK,2
2015-01-01,413,JFK,2
2015-01-01,415,JFK,3
2015-01-01,423,JFK,2
2015-01-01,425,JFK,3
2015-01-01,433,JFK,2
2015-01-01,443,JFK,2
2015-01-01,461,LGA,2
2015-01-01,561,LGA,2
2015-01-01,65,JFK,2
2015-01-01,703,JFK,2
2015-01-01,711,LGA,2
2015-01-01,841,JFK,2
2015-01-02,1,JFK,2
2015-01-02,1131,LGA,2
2015-01-02,1247,LGA,2
2015-01-02,1255,LGA,2
2015-01-02,15,JFK,2
2015-01-02,1599,LGA,2
2015-01-02,2175,LGA,2
2015-01-02,23,JFK,2
2015-01-02,2302,JFK,2
2015-01-02,269,LGA,2
2015-01-02,3,JFK,2
2015-01-02,331,LGA,2
2015-01-02,411,JFK,2
2015-01-02,413,JFK,2
2015-01-02,415,JFK,4
2015-01-02,423,JFK,2
2015-01-02,425,JFK,3
2015-01-02,433,JFK,2
2015-01-02,441,JFK,2
2015-01-02,443,JFK,2
2015-01-02,445,JFK,2
2015-01-02,461,LGA,2
2015-01-02,477,JFK,2
2015-01-02,483,JFK,2
2015-01-02,561,LGA,2
2015-01-02,65,JFK,2
2015-01-02,703,JFK,2
2015-01-02,711,LGA,2
2015-01-02,761,LGA,3
2015-01-02,765,LGA,2
2015-01-02,841,JFK,2
2015-01-03,1,JFK,2
2015-01-03,15,JFK,2
2015-01-03,1599,LGA,2
2015-01-03,163,JFK,2
2015-01-03,221,LGA,2
2015-01-03,269,LGA,2
2015-01-03,3,JFK,2
2015-01-03,331,LGA,2
2015-01-03,411,JFK,2
2015-01-03,413,JFK,2
2015-01-03,415,JFK,4
2015-01-03,423,JFK,2
2015-01-03,425,JFK,3
2015-01-03,433,JFK,2
2015-01-03,441,JFK,2
2015-01-03,443,JFK,2
2015-01-03,445,JFK,2
2015-01-03,461,LGA,2
2015-01-03,477,JFK,2
2015-01-03,561,LGA,2
2015-01-03,65,JFK,2
2015-01-03,703,JFK,2
2015-01-03,711,LGA,2
2015-01-03,761,LGA,2
2015-01-03,765,LGA,2
2015-01-03,841,JFK,2
2015-01-04,1,JFK,2
2015-01-04,1131,LGA,2
2015-01-04,15,JFK,2
2015-01-04,1599,LGA,2
2015-01-04,1617,LGA,2
2015-01-04,23,JFK,2
2015-01-04,2302,JFK,2
2015-01-04,3,JFK,2
2015-01-04,331,LGA,2
2015-01-04,411,JFK,2
2015-01-04,413,JFK,2
2015-01-04,415,JFK,4
2015-01-04,423,JFK,2
2015-01-04,425,JFK,3
2015-01-04,433,JFK,2
2015-01-04,443,JFK,2
2015-01-04,445,JFK,2
2015-01-04,461,LGA,2
2015-01-04,477,JFK,2
2015-01-04,483,JFK,2
2015-01-04,561,LGA,2
2015-01-04,65,JFK,2
2015-01-04,703,JFK,2
2015-01-04,711,LGA,2
2015-01-04,761,LGA,2
2015-01-04,765,LGA,2
2015-01-04,841,JFK,2
2015-01-05,1,JFK,2
2015-01-05,1255,LGA,2
2015-01-05,15,JFK,2
2015-01-05,1599,LGA,2
2015-01-05,163,JFK,2
2015-01-05,23,JFK,2
2015-01-05,269,LGA,2
2015-01-05,3,JFK,2
2015-01-05,331,LGA,2
2015-01-05,411,JFK,2
2015-01-05,415,JFK,4
2015-01-05,423,JFK,2
2015-01-05,425,JFK,2
2015-01-05,441,JFK,2
2015-01-05,443,JFK,2
2015-01-05,461,LGA,2
2015-01-05,483,JFK,2
2015-01-05,486,JFK,2
2015-01-05,561,LGA,2
2015-01-05,65,JFK,2
2015-01-05,703,JFK,2
2015-01-05,711,LGA,2
2015-01-05,761,LGA,2
2015-01-05,841,JFK,2
2015-01-05,847,LGA,2
2015-01-06,1,JFK,2
2015-01-06,15,JFK,2
2015-01-06,163,JFK,2
2015-01-06,1814,LGA,2
2015-01-06,2002,JFK,2
2015-01-06,2181,LGA,2
2015-01-06,2187,LGA,2
2015-01-06,221,LGA,2
2015-01-06,23,JFK,2
2015-01-06,2331,LGA,2
2015-01-06,2395,LGA,2
2015-01-06,3,JFK,2
2015-01-06,307,LGA,2
2015-01-06,331,LGA,2
2015-01-06,355,LGA,2
2015-01-06,3674,LGA,2
2015-01-06,411,JFK,2
2015-01-06,413,JFK,2
2015-01-06,415,JFK,4
2015-01-06,423,JFK,2
2015-01-06,433,JFK,2
2015-01-06,441,JFK,2
2015-01-06,443,JFK,2
2015-01-06,445,JFK,2
2015-01-06,477,JFK,2
2015-01-06,486,JFK,2
2015-01-06,65,JFK,2
2015-01-06,703,JFK,2
2015-01-06,711,LGA,2
2015-01-06,761,LGA,2
2015-01-06,841,JFK,2
2015-01-06,847,LGA,2
2015-01-07,1,JFK,2
2015-01-07,15,JFK,2
2015-01-07,163,JFK,2
2015-01-07,1814,LGA,2
2015-01-07,2002,JFK,2
2015-01-07,2181,LGA,2
2015-01-07,2187,LGA,2
2015-01-07,221,LGA,2
2015-01-07,23,JFK,2
2015-01-07,2314,JFK,2
2015-01-07,2331,LGA,2
2015-01-07,2395,LGA,2
2015-01-07,3,JFK,2
2015-01-07,307,LGA,2
2015-01-07,331,LGA,2
2015-01-07,343,LGA,2
2015-01-07,355,LGA,2
2015-01-07,3674,LGA,2
2015-01-07,411,JFK,2
2015-01-07,413,JFK,2
2015-01-07,415,JFK,4
2015-01-07,423,JFK,2
2015-01-07,425,JFK,2
2015-01-07,433,JFK,2
2015-01-07,441,JFK,2
2015-01-07,443,JFK,2
2015-01-07,445,JFK,2
2015-01-07,561,LGA,2
2015-01-07,65,JFK,2
2015-01-07,703,JFK,2
2015-01-07,711,LGA,2
2015-01-07,761,LGA,2
2015-01-07,841,JFK,2
2015-01-07,847,LGA,2
2015-01-08,1,JFK,2
2015-01-08,15,JFK,2
2015-01-08,163,JFK,2
2015-01-08,1814,LGA,2
2015-01-08,2002,JFK,2
2015-01-08,2181,LGA,2
2015-01-08,2187,LGA,2
2015-01-08,221,LGA,2
2015-01-08,23,JFK,2
2015-01-08,2331,LGA,2
2015-01-08,2395,LGA,2
2015-01-08,3,JFK,2
2015-01-08,307,LGA,2
2015-01-08,331,LGA,2
2015-01-08,355,LGA,2
2015-01-08,3674,LGA,2
2015-01-08,411,JFK,2
2015-01-08,413,JFK,2
2015-01-08,415,JFK,4
2015-01-08,423,JFK,2
2015-01-08,425,JFK,2
2015-01-08,441,JFK,2
2015-01-08,443,JFK,2
2015-01-08,486,JFK,2
2015-01-08,65,JFK,2
2015-01-08,703,JFK,2
2015-01-08,711,LGA,2
2015-01-08,761,LGA,2
2015-01-08,841,JFK,2
2015-01-08,847,LGA,2
2015-01-09,1,JFK,2
2015-01-09,15,JFK,2
2015-01-09,1814,LGA,2
2015-01-09,2002,JFK,2
2015-01-09,2181,LGA,2
2015-01-09,2187,LGA,2
2015-01-09,23,JFK,2
2015-01-09,2331,LGA,2
2015-01-09,2395,LGA,2
2015-01-09,3,JFK,2
2015-01-09,307,LGA,2
2015-01-09,331,LGA,2
2015-01-09,355,LGA,2
2015-01-09,3674,LGA,2
2015-01-09,411,JFK,2
2015-01-09,413,JFK,2
2015-01-09,415,JFK,4
2015-01-09,423,JFK,2
2015-01-09,425,JFK,2
2015-01-09,433,JFK,2
2015-01-09,441,JFK,2
2015-01-09,443,JFK,2
2015-01-09,445,JFK,2
2015-01-09,477,JFK,2
2015-01-09,486,JFK,2
2015-01-09,65,JFK,2
2015-01-09,703,JFK,2
2015-01-09,711,LGA,2
2015-01-09,761,LGA,2
2015-01-09,841,JFK,2
2015-01-09,847,LGA,2
2015-01-10,15,JFK,2
2015-01-10,163,JFK,2
2015-01-10,2002,JFK,2
2015-01-10,221,LGA,2
2015-01-10,3,JFK,2
2015-01-10,411,JFK,2
2015-01-10,413,JFK,2
2015-01-10,415,JFK,3
2015-01-10,423,JFK,2
2015-01-10,425,JFK,2
2015-01-10,433,JFK,2
