station,valid,Count
EWR,2015-11-01T01:51:00Z,2
EWR,2016-11-06T01:51:00Z,2
EWR,2017-11-05T01:51:00Z,2
EWR,2018-11-04T01:51:00Z,2
EWR,2019-11-03T01:51:00Z,2
EWR,2020-11-01T01:51:00Z,2
EWR,2021-11-07T01:51:00Z,2
EWR,2022-11-06T01:51:00Z,2
EWR,2023-06-25T18:50:00Z,2
EWR,2023-11-05T01:51:00Z,2
EWR,2024-11-03T01:51:00Z,2
JFK,2015-11-01T01:51:00Z,2
JFK,2016-11-06T01:51:00Z,2
JFK,2017-11-05T01:51:00Z,2
JFK,2018-11-04T01:51:00Z,2
JFK,2019-11-03T01:51:00Z,2
JFK,2020-11-01T01:51:00Z,2
JFK,2021-11-07T01:51:00Z,2
JFK,2022-11-06T01:51:00Z,2
JFK,2023-11-05T01:51:00Z,2
JFK,2024-06-26T20:40:00Z,2
JFK,2024-07-06T13:50:00Z,2
JFK,2024-11-03T01:51:00Z,2
LGA,2015-11-01T01:51:00Z,2
LGA,2016-11-06T01:51:00Z,2
LGA,2017-11-05T01:51:00Z,2
LGA,2018-11-04T01:51:00Z,2
LGA,2019-11-03T01:51:00Z,2
LGA,2020-11-01T01:51:00Z,2
LGA,2021-11-07T01:51:00Z,2
LGA,2022-11-06T01:51:00Z,2
LGA,2023-11-05T01:51:00Z,2
LGA,2024-03-05T08:50:00Z,2
LGA,2024-06-26T20:55:00Z,2
LGA,2024-08-31T05:15:00Z,2
LGA,2024-11-03T01:51:00Z,2
